CGPA,Skills,Interest,Career,Age,Gender,Location,Highest_Qualification,Stream,Academic_Level,Soft_Skills,Languages_Known,Certifications,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,student_profile
9.331,python,data science,Data Analyst,20.0,Other,Vizag,B.Tech,IT,Student,leadership  communication  problem solving,Hindi,python  aws,Hybrid,Analytical,Freelance Project,Unknown,programming,No,python data science leadership  communication  problem solving python  aws programming
5.697,html/css,data science,Data Scientist,22.0,Female,Delhi,12th,Commerce,Graduate,leadership  creativity  communication,"Telugu, Tamil",machine learning,Field Work,Creative,Internship at XYZ,Unknown,programming,Yes,html/css data science leadership  creativity  communication machine learning programming
6.031000000000001,html/css  data analysis  node.js,design,Product Designer,19.0,Female,Hyderabad,B.Sc,Commerce,Working Professional,leadership  time management,English,unknown,Remote,Social,Freelance Project,Top Performer,leadership,No,html/css  data analysis  node.js design leadership  time management unknown leadership
6.609999999999999,java  python  data analysis,data science,Data Scientist,29.0,Male,Chennai,MCA,BBA,Student,teamwork,Marathi,aws  machine learning,Remote,Creative,Unknown,Hackathon Winner,programming,Yes,java  python  data analysis data science teamwork aws  machine learning programming
9.271,html/css,marketing,Marketing Executive,24.0,Male,Mumbai,B.Tech,BBA,Student,problem solving  time management,Tamil,machine learning,Remote,Analytical,Research Assistant,Published Paper,programming,Yes,html/css marketing problem solving  time management machine learning programming
9.755,c++  python  react,management,Business Manager,29.0,Other,Bangalore,B.Sc,ECE,Graduate,leadership,"Marathi, English",gcp  azure,Remote,Technical,Internship at XYZ,Top Performer,leadership,No,c++  python  react management leadership gcp  azure leadership
6.033,python  data analysis,cybersecurity,Security Engineer,25.0,Other,Amalapuram,B.Tech,Mechanical,Graduate,time management,Kannada,aws  machine learning,Field Work,Creative,Part-time Job,Top Performer,problem solving,Yes,python  data analysis cybersecurity time management aws  machine learning problem solving
5.090999999999999,sql  java,design,Product Designer,19.0,Other,Hyderabad,M.Tech,Civil,Working Professional,leadership  time management,Tamil,machine learning  data science,Hybrid,Technical,Research Assistant,Published Paper,programming,No,sql  java design leadership  time management machine learning  data science programming
6.2700000000000005,python  sql,software development,Software Engineer,30.0,Other,Hyderabad,MBA,Commerce,Working Professional,creativity  leadership,"Kannada, Marathi",aws,Remote,Analytical,Freelance Project,Unknown,teamwork,No,python  sql software development creativity  leadership aws teamwork
9.679,node.js  python  java,management,Project Manager,20.0,Other,Mumbai,MBA,IT,Graduate,problem solving  creativity,English,full stack development  azure,Hybrid,Technical,Unknown,Published Paper,teamwork,No,node.js  python  java management problem solving  creativity full stack development  azure teamwork
8.748000000000001,data analysis,software development,Frontend Developer,30.0,Female,Pune,M.Sc,Commerce,Working Professional,communication  creativity  leadership,Telugu,data science,Hybrid,Analytical,Research Assistant,Top Performer,leadership,Yes,data analysis software development communication  creativity  leadership data science leadership
9.148,javascript  c++,data science,Data Scientist,19.0,Male,Amalapuram,MCA,Mechanical,Student,problem solving,Telugu,unknown,Remote,Social,Research Assistant,Employee of the Month,project management,Yes,javascript  c++ data science problem solving unknown project management
9.161,react,software development,Backend Developer,24.0,Female,Hyderabad,B.Sc,ECE,Working Professional,creativity  teamwork,"Marathi, Hindi",azure,Office,Technical,Internship at XYZ,Hackathon Winner,teamwork,Yes,react software development creativity  teamwork azure teamwork
6.9590000000000005,react  python,ai/ml,Deep Learning Engineer,18.0,Female,Pune,M.Tech,CSE,Working Professional,time management,English,azure,Field Work,Analytical,Freelance Project,Awarded Best Project,data analysis,Yes,react  python ai/ml time management azure data analysis
5.642,javascript,management,Business Manager,21.0,Other,Delhi,MCA,CSE,Student,communication  time management,Telugu,full stack development  azure,Remote,Technical,Internship at XYZ,Awarded Best Project,data analysis,Yes,javascript management communication  time management full stack development  azure data analysis
5.902,javascript,marketing,Digital Marketing Specialist,28.0,Other,Mumbai,B.Tech,IT,Graduate,time management  communication  creativity,English,python,Office,Analytical,Research Assistant,Awarded Best Project,project management,Yes,javascript marketing time management  communication  creativity python project management
5.894,html/css  c++  python,management,Business Manager,18.0,Male,Chennai,B.Tech,Mechanical,Graduate,leadership  problem solving  communication,Marathi,unknown,Field Work,Social,Freelance Project,Unknown,problem solving,Yes,html/css  c++  python management leadership  problem solving  communication unknown problem solving
8.718,html/css  data analysis,management,Project Manager,25.0,Female,Chennai,B.Tech,ECE,Working Professional,teamwork,Telugu,gcp,Office,Analytical,Unknown,Unknown,leadership,Yes,html/css  data analysis management teamwork gcp leadership
8.741,sql,ai/ml,Deep Learning Engineer,25.0,Female,Pune,B.Tech,Civil,Student,time management  problem solving,Tamil,azure,Remote,Analytical,Freelance Project,Top Performer,teamwork,No,sql ai/ml time management  problem solving azure teamwork
6.57,react,data science,Data Analyst,27.0,Male,Vizag,B.Sc,Mechanical,Working Professional,teamwork,Kannada,gcp  azure,Office,Creative,Unknown,Employee of the Month,problem solving,No,react data science teamwork gcp  azure problem solving
6.549,data analysis  node.js,marketing,Digital Marketing Specialist,21.0,Male,Delhi,B.Tech,BBA,Working Professional,creativity  teamwork,"Tamil, Marathi",unknown,Hybrid,Social,Startup Experience,Unknown,problem solving,No,data analysis  node.js marketing creativity  teamwork unknown problem solving
8.41,data analysis,design,Graphic Designer,26.0,Male,Amalapuram,M.Sc,ECE,Student,creativity  leadership,Tamil,aws  python,Remote,Technical,Unknown,Top Performer,data analysis,Yes,data analysis design creativity  leadership aws  python data analysis
5.284000000000001,html/css  javascript  python,cybersecurity,Cybersecurity Analyst,18.0,Other,Delhi,B.Sc,EEE,Student,communication  time management,"Telugu, Kannada",unknown,Hybrid,Creative,Part-time Job,Unknown,teamwork,No,html/css  javascript  python cybersecurity communication  time management unknown teamwork
6.878,node.js,management,Operations Manager,26.0,Other,Mumbai,MBA,BBA,Working Professional,creativity  time management  communication,English,unknown,Field Work,Creative,Freelance Project,Hackathon Winner,programming,No,node.js management creativity  time management  communication unknown programming
7.938,sql  data analysis,management,Project Manager,27.0,Other,Delhi,12th,EEE,Graduate,teamwork,"Hindi, Marathi",python,Hybrid,Technical,Startup Experience,Awarded Best Project,project management,No,sql  data analysis management teamwork python project management
7.529000000000001,html/css,design,Product Designer,24.0,Other,Amalapuram,M.Sc,ECE,Working Professional,time management,Tamil,gcp  machine learning,Field Work,Social,Internship at XYZ,Employee of the Month,leadership,No,html/css design time management gcp  machine learning leadership
6.926,node.js  c++,marketing,Digital Marketing Specialist,27.0,Other,Delhi,M.Sc,Civil,Student,time management  leadership  teamwork,"Tamil, Kannada",unknown,Remote,Analytical,Unknown,Top Performer,programming,Yes,node.js  c++ marketing time management  leadership  teamwork unknown programming
8.769,java  sql,software development,Frontend Developer,21.0,Other,Bangalore,M.Sc,IT,Graduate,problem solving,"Tamil, Hindi",unknown,Remote,Creative,Unknown,Unknown,teamwork,No,java  sql software development problem solving unknown teamwork
8.318999999999999,html/css,cybersecurity,Security Engineer,27.0,Other,Pune,12th,BBA,Student,leadership,"Hindi, Telugu",gcp,Remote,Creative,Freelance Project,Unknown,programming,No,html/css cybersecurity leadership gcp programming
6.015,sql  python,cybersecurity,Cybersecurity Analyst,22.0,Other,Hyderabad,10th,Civil,Graduate,leadership  creativity  time management,"Telugu, Tamil",python  full stack development,Remote,Creative,Research Assistant,Unknown,leadership,Yes,sql  python cybersecurity leadership  creativity  time management python  full stack development leadership
9.933,react  sql  node.js,cybersecurity,Cybersecurity Analyst,29.0,Other,Chennai,MCA,ECE,Working Professional,leadership  problem solving,"English, Hindi",machine learning  aws,Office,Creative,Unknown,Employee of the Month,leadership,Yes,react  sql  node.js cybersecurity leadership  problem solving machine learning  aws leadership
6.904000000000001,node.js  data analysis,software development,Full Stack Developer,20.0,Female,Pune,MBA,IT,Graduate,time management  communication  creativity,Telugu,gcp  azure,Remote,Analytical,Internship at XYZ,Unknown,data analysis,No,node.js  data analysis software development time management  communication  creativity gcp  azure data analysis
6.074,java  c++  data analysis,software development,Backend Developer,30.0,Female,Amalapuram,M.Sc,EEE,Graduate,creativity  time management,Tamil,unknown,Remote,Social,Internship at XYZ,Top Performer,leadership,No,java  c++  data analysis software development creativity  time management unknown leadership
9.471,react,marketing,Marketing Executive,26.0,Female,Pune,12th,IT,Working Professional,problem solving  time management  teamwork,"English, Telugu",unknown,Hybrid,Social,Part-time Job,Top Performer,teamwork,No,react marketing problem solving  time management  teamwork unknown teamwork
7.302,react,marketing,SEO Analyst,18.0,Male,Amalapuram,M.Tech,Mechanical,Graduate,teamwork  time management  leadership,"Hindi, Telugu",unknown,Field Work,Social,Startup Experience,Top Performer,programming,Yes,react marketing teamwork  time management  leadership unknown programming
7.547,react  sql,marketing,Digital Marketing Specialist,27.0,Male,Chennai,10th,Mechanical,Working Professional,time management,"Kannada, Telugu",full stack development  gcp,Office,Analytical,Research Assistant,Employee of the Month,project management,Yes,react  sql marketing time management full stack development  gcp project management
7.501,html/css  react  python,software development,Backend Developer,19.0,Male,Delhi,10th,BBA,Working Professional,creativity  communication,Marathi,aws  gcp,Office,Technical,Startup Experience,Awarded Best Project,leadership,No,html/css  react  python software development creativity  communication aws  gcp leadership
9.033,python,ai/ml,Deep Learning Engineer,18.0,Female,Amalapuram,B.Tech,CSE,Working Professional,problem solving,"English, Tamil",machine learning,Office,Technical,Unknown,Published Paper,project management,Yes,python ai/ml problem solving machine learning project management
6.097,javascript  data analysis  c++,management,Business Manager,23.0,Male,Bangalore,B.Tech,BBA,Graduate,creativity  teamwork  problem solving,Marathi,unknown,Field Work,Social,Part-time Job,Top Performer,teamwork,Yes,javascript  data analysis  c++ management creativity  teamwork  problem solving unknown teamwork
6.131,node.js  html/css,management,Business Manager,26.0,Male,Delhi,MBA,ECE,Graduate,creativity,Marathi,unknown,Remote,Social,Internship at XYZ,Employee of the Month,problem solving,No,node.js  html/css management creativity unknown problem solving
5.147,data analysis,design,Product Designer,30.0,Other,Pune,10th,BBA,Student,creativity  problem solving  teamwork,Telugu,gcp  python,Remote,Social,Research Assistant,Employee of the Month,teamwork,No,data analysis design creativity  problem solving  teamwork gcp  python teamwork
9.231,python  react,data science,Data Analyst,20.0,Female,Chennai,12th,BBA,Working Professional,communication,English,data science,Field Work,Creative,Research Assistant,Unknown,problem solving,No,python  react data science communication data science problem solving
6.75,data analysis  html/css,design,UI/UX Designer,25.0,Female,Chennai,MBA,Commerce,Graduate,teamwork  leadership  creativity,"Telugu, Hindi",azure  gcp,Office,Creative,Research Assistant,Employee of the Month,programming,No,data analysis  html/css design teamwork  leadership  creativity azure  gcp programming
5.354,c++,data science,Data Scientist,19.0,Male,Delhi,M.Tech,BBA,Working Professional,creativity  teamwork  communication,Telugu,full stack development,Field Work,Technical,Research Assistant,Top Performer,problem solving,No,c++ data science creativity  teamwork  communication full stack development problem solving
8.5,java  c++,cybersecurity,Ethical Hacker,19.0,Male,Pune,B.Sc,EEE,Graduate,time management,Telugu,python,Remote,Analytical,Part-time Job,Top Performer,teamwork,No,java  c++ cybersecurity time management python teamwork
8.925,data analysis,ai/ml,Deep Learning Engineer,20.0,Female,Vizag,MCA,Civil,Graduate,leadership  teamwork  problem solving,"Telugu, Marathi",unknown,Field Work,Analytical,Research Assistant,Employee of the Month,problem solving,No,data analysis ai/ml leadership  teamwork  problem solving unknown problem solving
9.07,html/css  node.js  react,cybersecurity,Ethical Hacker,19.0,Other,Pune,10th,Commerce,Working Professional,teamwork  creativity,"Tamil, Kannada",full stack development,Office,Technical,Unknown,Published Paper,leadership,No,html/css  node.js  react cybersecurity teamwork  creativity full stack development leadership
9.086,javascript,marketing,Digital Marketing Specialist,24.0,Other,Delhi,10th,ECE,Working Professional,creativity,"English, Hindi",data science  python,Hybrid,Technical,Unknown,Hackathon Winner,teamwork,Yes,javascript marketing creativity data science  python teamwork
5.2490000000000006,data analysis,software development,Backend Developer,26.0,Male,Pune,B.Tech,Civil,Working Professional,leadership  communication,"Hindi, Tamil",unknown,Hybrid,Creative,Unknown,Awarded Best Project,problem solving,No,data analysis software development leadership  communication unknown problem solving
5.607,c++  javascript  html/css,software development,Frontend Developer,24.0,Female,Pune,M.Tech,Commerce,Student,teamwork,Kannada,unknown,Remote,Social,Research Assistant,Awarded Best Project,teamwork,Yes,c++  javascript  html/css software development teamwork unknown teamwork
7.733,node.js  data analysis,ai/ml,AI Researcher,25.0,Female,Mumbai,10th,IT,Graduate,time management  communication  leadership,"English, Tamil",data science,Hybrid,Technical,Research Assistant,Unknown,teamwork,Yes,node.js  data analysis ai/ml time management  communication  leadership data science teamwork
6.343999999999999,python,data science,Business Analyst,30.0,Female,Vizag,B.Sc,IT,Working Professional,communication,Hindi,unknown,Remote,Analytical,Startup Experience,Unknown,leadership,Yes,python data science communication unknown leadership
8.208,react  data analysis  python,data science,Business Analyst,21.0,Male,Bangalore,MCA,Mechanical,Student,communication,Telugu,azure,Hybrid,Technical,Unknown,Awarded Best Project,problem solving,Yes,react  data analysis  python data science communication azure problem solving
6.455,html/css  sql,design,Product Designer,19.0,Male,Hyderabad,MCA,BBA,Working Professional,problem solving  communication  creativity,"Tamil, Hindi",unknown,Hybrid,Analytical,Unknown,Published Paper,leadership,No,html/css  sql design problem solving  communication  creativity unknown leadership
7.243,c++  html/css  react,design,Product Designer,19.0,Female,Chennai,M.Sc,EEE,Graduate,leadership  creativity  time management,Marathi,azure  python,Remote,Social,Startup Experience,Employee of the Month,teamwork,Yes,c++  html/css  react design leadership  creativity  time management azure  python teamwork
5.268,java,management,Operations Manager,24.0,Other,Vizag,M.Tech,EEE,Student,leadership  problem solving  creativity,"Marathi, Kannada",unknown,Office,Technical,Internship at XYZ,Employee of the Month,data analysis,No,java management leadership  problem solving  creativity unknown data analysis
9.004999999999999,react,management,Operations Manager,28.0,Male,Amalapuram,MBA,Civil,Graduate,leadership,Marathi,data science,Hybrid,Analytical,Unknown,Employee of the Month,teamwork,No,react management leadership data science teamwork
5.287,node.js  java  python,software development,Backend Developer,25.0,Female,Vizag,M.Tech,EEE,Working Professional,communication  leadership,Hindi,machine learning,Field Work,Creative,Startup Experience,Published Paper,problem solving,No,node.js  java  python software development communication  leadership machine learning problem solving
8.053,data analysis  javascript  node.js,cybersecurity,Security Engineer,26.0,Female,Amalapuram,M.Tech,IT,Working Professional,creativity  problem solving  teamwork,"Telugu, Hindi",unknown,Field Work,Technical,Research Assistant,Awarded Best Project,teamwork,No,data analysis  javascript  node.js cybersecurity creativity  problem solving  teamwork unknown teamwork
7.305,java  node.js,software development,Frontend Developer,19.0,Male,Delhi,MCA,IT,Student,teamwork  communication  leadership,English,unknown,Hybrid,Creative,Part-time Job,Top Performer,teamwork,Yes,java  node.js software development teamwork  communication  leadership unknown teamwork
9.127,c++  python,cybersecurity,Ethical Hacker,29.0,Other,Hyderabad,MCA,IT,Working Professional,communication  teamwork,Hindi,full stack development  python,Hybrid,Social,Freelance Project,Published Paper,project management,No,c++  python cybersecurity communication  teamwork full stack development  python project management
7.189,c++  react  javascript,cybersecurity,Cybersecurity Analyst,20.0,Female,Pune,MCA,ECE,Graduate,time management  problem solving,"Telugu, Tamil",python,Remote,Analytical,Unknown,Employee of the Month,problem solving,No,c++  react  javascript cybersecurity time management  problem solving python problem solving
6.036,python,marketing,SEO Analyst,29.0,Female,Delhi,B.Tech,EEE,Graduate,leadership,"Marathi, English",data science  full stack development,Office,Technical,Startup Experience,Unknown,data analysis,Yes,python marketing leadership data science  full stack development data analysis
9.069,python  html/css  java,management,Operations Manager,18.0,Male,Bangalore,M.Sc,CSE,Graduate,time management  problem solving  leadership,English,unknown,Remote,Creative,Unknown,Published Paper,teamwork,Yes,python  html/css  java management time management  problem solving  leadership unknown teamwork
5.529,data analysis  node.js  sql,data science,Data Analyst,21.0,Male,Hyderabad,MCA,Civil,Graduate,creativity  problem solving,Hindi,gcp,Hybrid,Technical,Part-time Job,Top Performer,problem solving,Yes,data analysis  node.js  sql data science creativity  problem solving gcp problem solving
6.83,react,cybersecurity,Security Engineer,28.0,Male,Vizag,B.Tech,Civil,Working Professional,time management  creativity  leadership,"Marathi, Kannada",aws,Hybrid,Social,Internship at XYZ,Unknown,teamwork,No,react cybersecurity time management  creativity  leadership aws teamwork
7.176,react  data analysis,ai/ml,Deep Learning Engineer,25.0,Other,Pune,B.Sc,IT,Student,leadership,"Telugu, Kannada",unknown,Office,Technical,Internship at XYZ,Published Paper,problem solving,No,react  data analysis ai/ml leadership unknown problem solving
9.215,python,cybersecurity,Ethical Hacker,29.0,Male,Amalapuram,M.Tech,Mechanical,Working Professional,communication,Hindi,full stack development  gcp,Office,Technical,Internship at XYZ,Awarded Best Project,programming,No,python cybersecurity communication full stack development  gcp programming
5.283,react  html/css  node.js,software development,Full Stack Developer,27.0,Male,Mumbai,12th,BBA,Student,problem solving  leadership  teamwork,"English, Hindi",aws,Office,Creative,Freelance Project,Hackathon Winner,leadership,Yes,react  html/css  node.js software development problem solving  leadership  teamwork aws leadership
9.789,c++,software development,Frontend Developer,20.0,Female,Hyderabad,12th,BBA,Graduate,creativity  problem solving  communication,"Telugu, Kannada",unknown,Remote,Social,Freelance Project,Awarded Best Project,project management,No,c++ software development creativity  problem solving  communication unknown project management
6.970999999999999,java  html/css,ai/ml,AI Researcher,26.0,Female,Delhi,MBA,CSE,Student,leadership  teamwork  communication,Marathi,machine learning,Remote,Analytical,Research Assistant,Published Paper,data analysis,Yes,java  html/css ai/ml leadership  teamwork  communication machine learning data analysis
8.711,python  java  react,design,UI/UX Designer,19.0,Female,Pune,10th,IT,Working Professional,leadership  time management,"Tamil, Telugu",machine learning,Field Work,Technical,Research Assistant,Employee of the Month,data analysis,No,python  java  react design leadership  time management machine learning data analysis
9.382,javascript  node.js  python,marketing,SEO Analyst,18.0,Other,Hyderabad,B.Sc,EEE,Working Professional,problem solving  teamwork  leadership,English,unknown,Hybrid,Analytical,Part-time Job,Top Performer,leadership,Yes,javascript  node.js  python marketing problem solving  teamwork  leadership unknown leadership
7.495,react  html/css,management,Project Manager,20.0,Other,Vizag,M.Sc,BBA,Student,creativity  communication,"English, Tamil",python  azure,Field Work,Technical,Part-time Job,Awarded Best Project,project management,No,react  html/css management creativity  communication python  azure project management
5.154999999999999,react,ai/ml,AI Researcher,25.0,Male,Pune,10th,IT,Student,teamwork  time management,"Marathi, Tamil",aws  full stack development,Office,Analytical,Internship at XYZ,Published Paper,teamwork,No,react ai/ml teamwork  time management aws  full stack development teamwork
5.221,react  sql  node.js,cybersecurity,Security Engineer,22.0,Female,Hyderabad,MBA,BBA,Graduate,teamwork  problem solving,"English, Marathi",unknown,Hybrid,Creative,Research Assistant,Unknown,leadership,Yes,react  sql  node.js cybersecurity teamwork  problem solving unknown leadership
5.931,python,software development,Full Stack Developer,27.0,Male,Mumbai,B.Sc,CSE,Student,problem solving  creativity  communication,"English, Kannada",full stack development  azure,Field Work,Technical,Part-time Job,Hackathon Winner,data analysis,Yes,python software development problem solving  creativity  communication full stack development  azure data analysis
8.107,javascript  react,management,Project Manager,19.0,Other,Chennai,MBA,Civil,Student,creativity,"English, Tamil",unknown,Office,Social,Unknown,Awarded Best Project,teamwork,No,javascript  react management creativity unknown teamwork
5.925,java,design,Graphic Designer,20.0,Male,Chennai,12th,ECE,Student,leadership,Tamil,unknown,Office,Technical,Part-time Job,Employee of the Month,data analysis,No,java design leadership unknown data analysis
7.99,sql,software development,Full Stack Developer,28.0,Other,Bangalore,MBA,BBA,Student,creativity,"Telugu, Marathi",data science,Office,Analytical,Internship at XYZ,Top Performer,project management,No,sql software development creativity data science project management
7.264,c++  data analysis,management,Project Manager,19.0,Female,Amalapuram,10th,CSE,Working Professional,leadership,"Kannada, Hindi",unknown,Office,Technical,Internship at XYZ,Published Paper,leadership,No,c++  data analysis management leadership unknown leadership
8.196,react  javascript,data science,Business Analyst,26.0,Other,Chennai,M.Tech,ECE,Student,teamwork  creativity,Marathi,unknown,Office,Analytical,Part-time Job,Unknown,leadership,Yes,react  javascript data science teamwork  creativity unknown leadership
6.041,node.js,design,UI/UX Designer,23.0,Male,Chennai,M.Sc,BBA,Student,communication  teamwork,Telugu,azure  machine learning,Remote,Analytical,Freelance Project,Hackathon Winner,teamwork,No,node.js design communication  teamwork azure  machine learning teamwork
5.569,data analysis  javascript  node.js,ai/ml,Machine Learning Engineer,23.0,Male,Hyderabad,M.Sc,EEE,Student,problem solving  leadership,"Kannada, English",unknown,Hybrid,Technical,Unknown,Awarded Best Project,teamwork,No,data analysis  javascript  node.js ai/ml problem solving  leadership unknown teamwork
6.768000000000001,sql  javascript  react,ai/ml,Machine Learning Engineer,18.0,Female,Hyderabad,MBA,IT,Student,time management,English,data science  aws,Field Work,Social,Research Assistant,Published Paper,data analysis,Yes,sql  javascript  react ai/ml time management data science  aws data analysis
8.794,c++,marketing,Digital Marketing Specialist,25.0,Female,Bangalore,MCA,Civil,Student,teamwork  creativity,Marathi,aws,Field Work,Technical,Internship at XYZ,Top Performer,project management,Yes,c++ marketing teamwork  creativity aws project management
6.397,c++  html/css  data analysis,software development,Full Stack Developer,24.0,Other,Delhi,12th,Mechanical,Student,time management  problem solving,Marathi,python  data science,Field Work,Creative,Internship at XYZ,Unknown,teamwork,No,c++  html/css  data analysis software development time management  problem solving python  data science teamwork
8.073,python  html/css,cybersecurity,Security Engineer,23.0,Other,Mumbai,MCA,ECE,Working Professional,creativity,English,unknown,Remote,Creative,Research Assistant,Awarded Best Project,problem solving,Yes,python  html/css cybersecurity creativity unknown problem solving
9.894,react  javascript,ai/ml,Machine Learning Engineer,26.0,Female,Delhi,M.Sc,IT,Graduate,problem solving  leadership,English,full stack development,Office,Technical,Startup Experience,Top Performer,leadership,Yes,react  javascript ai/ml problem solving  leadership full stack development leadership
6.1240000000000006,java,management,Project Manager,24.0,Female,Amalapuram,MBA,Mechanical,Graduate,teamwork  communication  problem solving,Tamil,python,Office,Creative,Part-time Job,Awarded Best Project,project management,No,java management teamwork  communication  problem solving python project management
5.725,c++  python,management,Business Manager,28.0,Other,Bangalore,10th,Civil,Working Professional,communication,Tamil,python  aws,Office,Creative,Freelance Project,Unknown,programming,Yes,c++  python management communication python  aws programming
6.639,java,data science,Data Analyst,19.0,Female,Delhi,MCA,EEE,Working Professional,leadership  time management,"Marathi, Kannada",unknown,Field Work,Creative,Freelance Project,Top Performer,project management,Yes,java data science leadership  time management unknown project management
6.315,data analysis,software development,Full Stack Developer,25.0,Other,Delhi,12th,IT,Graduate,leadership  teamwork,Marathi,python,Field Work,Creative,Internship at XYZ,Top Performer,project management,Yes,data analysis software development leadership  teamwork python project management
7.183,java  python,ai/ml,Deep Learning Engineer,23.0,Female,Chennai,MCA,IT,Student,teamwork  time management  leadership,Telugu,machine learning,Field Work,Analytical,Startup Experience,Hackathon Winner,problem solving,No,java  python ai/ml teamwork  time management  leadership machine learning problem solving
7.170999999999999,react  html/css,design,Product Designer,21.0,Female,Chennai,MBA,Civil,Working Professional,teamwork,Hindi,azure,Office,Creative,Research Assistant,Awarded Best Project,programming,No,react  html/css design teamwork azure programming
7.598999999999999,html/css,marketing,Digital Marketing Specialist,26.0,Male,Vizag,MBA,CSE,Student,problem solving,"English, Tamil",unknown,Field Work,Social,Freelance Project,Hackathon Winner,project management,No,html/css marketing problem solving unknown project management
7.624,data analysis,cybersecurity,Security Engineer,28.0,Female,Mumbai,MBA,ECE,Working Professional,communication  problem solving,Telugu,full stack development,Field Work,Social,Internship at XYZ,Awarded Best Project,teamwork,Yes,data analysis cybersecurity communication  problem solving full stack development teamwork
5.468,java,cybersecurity,Ethical Hacker,24.0,Female,Chennai,M.Sc,EEE,Student,problem solving,"English, Marathi",machine learning  full stack development,Hybrid,Social,Research Assistant,Published Paper,programming,No,java cybersecurity problem solving machine learning  full stack development programming
7.661,python  javascript,ai/ml,Machine Learning Engineer,20.0,Male,Delhi,12th,EEE,Graduate,teamwork  leadership,Marathi,data science,Remote,Analytical,Startup Experience,Unknown,leadership,No,python  javascript ai/ml teamwork  leadership data science leadership
5.45,python,management,Project Manager,20.0,Male,Delhi,M.Tech,CSE,Student,time management  creativity  leadership,"English, Kannada",python,Remote,Analytical,Internship at XYZ,Unknown,teamwork,Yes,python management time management  creativity  leadership python teamwork
5.237,html/css  python  javascript,management,Business Manager,18.0,Female,Pune,M.Tech,CSE,Graduate,teamwork  leadership,"Hindi, Tamil",data science  machine learning,Remote,Analytical,Freelance Project,Unknown,data analysis,No,html/css  python  javascript management teamwork  leadership data science  machine learning data analysis
9.136,data analysis  javascript,ai/ml,Machine Learning Engineer,30.0,Male,Delhi,12th,Civil,Graduate,problem solving,"Kannada, Telugu",machine learning,Hybrid,Technical,Research Assistant,Published Paper,teamwork,No,data analysis  javascript ai/ml problem solving machine learning teamwork
6.793000000000001,python  html/css  node.js,management,Business Manager,27.0,Male,Delhi,10th,CSE,Working Professional,creativity,Hindi,machine learning,Field Work,Creative,Freelance Project,Published Paper,data analysis,Yes,python  html/css  node.js management creativity machine learning data analysis
