CGPA,Skills,Interest,Career,Age,Gender,Location,Highest_Qualification,Stream,Academic_Level,Soft_Skills,Languages_Known,Certifications,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate
6.031000000000001,"HTML/CSS, Data Analysis, Node.js",Design,Product Designer,19,Female,Hyderabad,B.Sc,Commerce,Working Professional,"Leadership, Time Management",English,,Remote,Social,Freelance Project,Top Performer,Leadership,No
6.609999999999999,"Java, Python, Data Analysis",Data Science,Data Scientist,29,Male,Chennai,MCA,BBA,Student,Teamwork,Marathi,"AWS, Machine Learning",Remote,Creative,,Hackathon Winner,Programming,Yes
9.270999999999999,HTML/CSS,Marketing,Marketing Executive,24,Male,Mumbai,B.Tech,BBA,Student,"Problem Solving, Time Management",Tamil,Machine Learning,Remote,Analytical,Research Assistant,Published Paper,Programming,Yes
9.754999999999999,"C++, Python, React",Management,Business Manager,29,Other,Bangalore,B.Sc,ECE,Graduate,Leadership,"Marathi, English","GCP, Azure",Remote,Technical,Internship at XYZ,Top Performer,Leadership,No
6.0329999999999995,"Python, Data Analysis",Cybersecurity,Security Engineer,25,Other,Amalapuram,B.Tech,Mechanical,Graduate,Time Management,Kannada,"AWS, Machine Learning",Field Work,Creative,Part-time Job,Top Performer,Problem Solving,Yes
5.090999999999999,"SQL, Java",Design,Product Designer,19,Other,Hyderabad,M.Tech,Civil,Working Professional,"Leadership, Time Management",Tamil,"Machine Learning, Data Science",Hybrid,Technical,Research Assistant,Published Paper,Programming,No
6.2700000000000005,"Python, SQL",Software Development,Software Engineer,30,Other,Hyderabad,MBA,Commerce,Working Professional,"Creativity, Leadership","Kannada, Marathi",AWS,Remote,Analytical,Freelance Project,,Teamwork,No
9.679,"Node.js, Python, Java",Management,Project Manager,20,Other,Mumbai,MBA,IT,Graduate,"Problem Solving, Creativity",English,"Full Stack Development, Azure",Hybrid,Technical,,Published Paper,Teamwork,No
8.748000000000001,Data Analysis,Software Development,Frontend Developer,30,Female,Pune,M.Sc,Commerce,Working Professional,"Communication, Creativity, Leadership",Telugu,Data Science,Hybrid,Analytical,Research Assistant,Top Performer,Leadership,Yes
9.148,"JavaScript, C++",Data Science,Data Scientist,19,Male,Amalapuram,MCA,Mechanical,Student,Problem Solving,Telugu,,Remote,Social,Research Assistant,Employee of the Month,Project Management,Yes
9.161,React,Software Development,Backend Developer,24,Female,Hyderabad,B.Sc,ECE,Working Professional,"Creativity, Teamwork","Marathi, Hindi",Azure,Office,Technical,Internship at XYZ,Hackathon Winner,Teamwork,Yes
6.9590000000000005,"React, Python",AI/ML,Deep Learning Engineer,18,Female,Pune,M.Tech,CSE,Working Professional,Time Management,English,Azure,Field Work,Analytical,Freelance Project,Awarded Best Project,Data Analysis,Yes
5.642,JavaScript,Management,Business Manager,21,Other,Delhi,MCA,CSE,Student,"Communication, Time Management",Telugu,"Full Stack Development, Azure",Remote,Technical,Internship at XYZ,Awarded Best Project,Data Analysis,Yes
5.902,JavaScript,Marketing,Digital Marketing Specialist,28,Other,Mumbai,B.Tech,IT,Graduate,"Time Management, Communication, Creativity",English,Python,Office,Analytical,Research Assistant,Awarded Best Project,Project Management,Yes
5.894,"HTML/CSS, C++, Python",Management,Business Manager,18,Male,Chennai,B.Tech,Mechanical,Graduate,"Leadership, Problem Solving, Communication",Marathi,,Field Work,Social,Freelance Project,,Problem Solving,Yes
8.718,"HTML/CSS, Data Analysis",Management,Project Manager,25,Female,Chennai,B.Tech,ECE,Working Professional,Teamwork,Telugu,GCP,Office,Analytical,,,Leadership,Yes
8.741,SQL,AI/ML,Deep Learning Engineer,25,Female,Pune,B.Tech,Civil,Student,"Time Management, Problem Solving",Tamil,Azure,Remote,Analytical,Freelance Project,Top Performer,Teamwork,No
6.57,React,Data Science,Data Analyst,27,Male,Vizag,B.Sc,Mechanical,Working Professional,Teamwork,Kannada,"GCP, Azure",Office,Creative,,Employee of the Month,Problem Solving,No
6.5489999999999995,"Data Analysis, Node.js",Marketing,Digital Marketing Specialist,21,Male,Delhi,B.Tech,BBA,Working Professional,"Creativity, Teamwork","Tamil, Marathi",,Hybrid,Social,Startup Experience,,Problem Solving,No
8.41,Data Analysis,Design,Graphic Designer,26,Male,Amalapuram,M.Sc,ECE,Student,"Creativity, Leadership",Tamil,"AWS, Python",Remote,Technical,,Top Performer,Data Analysis,Yes
5.284000000000001,"HTML/CSS, JavaScript, Python",Cybersecurity,Cybersecurity Analyst,18,Other,Delhi,B.Sc,EEE,Student,"Communication, Time Management","Telugu, Kannada",,Hybrid,Creative,Part-time Job,,Teamwork,No
6.878,Node.js,Management,Operations Manager,26,Other,Mumbai,MBA,BBA,Working Professional,"Creativity, Time Management, Communication",English,,Field Work,Creative,Freelance Project,Hackathon Winner,Programming,No
7.938,"SQL, Data Analysis",Management,Project Manager,27,Other,Delhi,12th,EEE,Graduate,Teamwork,"Hindi, Marathi",Python,Hybrid,Technical,Startup Experience,Awarded Best Project,Project Management,No
7.529000000000001,HTML/CSS,Design,Product Designer,24,Other,Amalapuram,M.Sc,ECE,Working Professional,Time Management,Tamil,"GCP, Machine Learning",Field Work,Social,Internship at XYZ,Employee of the Month,Leadership,No
6.926,"Node.js, C++",Marketing,Digital Marketing Specialist,27,Other,Delhi,M.Sc,Civil,Student,"Time Management, Leadership, Teamwork","Tamil, Kannada",,Remote,Analytical,,Top Performer,Programming,Yes
8.769,"Java, SQL",Software Development,Frontend Developer,21,Other,Bangalore,M.Sc,IT,Graduate,Problem Solving,"Tamil, Hindi",,Remote,Creative,,,Teamwork,No
8.318999999999999,HTML/CSS,Cybersecurity,Security Engineer,27,Other,Pune,12th,BBA,Student,Leadership,"Hindi, Telugu",GCP,Remote,Creative,Freelance Project,,Programming,No
6.015,"SQL, Python",Cybersecurity,Cybersecurity Analyst,22,Other,Hyderabad,10th,Civil,Graduate,"Leadership, Creativity, Time Management","Telugu, Tamil","Python, Full Stack Development",Remote,Creative,Research Assistant,,Leadership,Yes
9.933,"React, SQL, Node.js",Cybersecurity,Cybersecurity Analyst,29,Other,Chennai,MCA,ECE,Working Professional,"Leadership, Problem Solving","English, Hindi","Machine Learning, AWS",Office,Creative,,Employee of the Month,Leadership,Yes
6.904000000000001,"Node.js, Data Analysis",Software Development,Full Stack Developer,20,Female,Pune,MBA,IT,Graduate,"Time Management, Communication, Creativity",Telugu,"GCP, Azure",Remote,Analytical,Internship at XYZ,,Data Analysis,No
6.074,"Java, C++, Data Analysis",Software Development,Backend Developer,30,Female,Amalapuram,M.Sc,EEE,Graduate,"Creativity, Time Management",Tamil,,Remote,Social,Internship at XYZ,Top Performer,Leadership,No
9.471,React,Marketing,Marketing Executive,26,Female,Pune,12th,IT,Working Professional,"Problem Solving, Time Management, Teamwork","English, Telugu",,Hybrid,Social,Part-time Job,Top Performer,Teamwork,No
7.302,React,Marketing,SEO Analyst,18,Male,Amalapuram,M.Tech,Mechanical,Graduate,"Teamwork, Time Management, Leadership","Hindi, Telugu",,Field Work,Social,Startup Experience,Top Performer,Programming,Yes
7.547,"React, SQL",Marketing,Digital Marketing Specialist,27,Male,Chennai,10th,Mechanical,Working Professional,Time Management,"Kannada, Telugu","Full Stack Development, GCP",Office,Analytical,Research Assistant,Employee of the Month,Project Management,Yes
7.501,"HTML/CSS, React, Python",Software Development,Backend Developer,19,Male,Delhi,10th,BBA,Working Professional,"Creativity, Communication",Marathi,"AWS, GCP",Office,Technical,Startup Experience,Awarded Best Project,Leadership,No
9.033,Python,AI/ML,Deep Learning Engineer,18,Female,Amalapuram,B.Tech,CSE,Working Professional,Problem Solving,"English, Tamil",Machine Learning,Office,Technical,,Published Paper,Project Management,Yes
6.0969999999999995,"JavaScript, Data Analysis, C++",Management,Business Manager,23,Male,Bangalore,B.Tech,BBA,Graduate,"Creativity, Teamwork, Problem Solving",Marathi,,Field Work,Social,Part-time Job,Top Performer,Teamwork,Yes
6.131,"Node.js, HTML/CSS",Management,Business Manager,26,Male,Delhi,MBA,ECE,Graduate,Creativity,Marathi,,Remote,Social,Internship at XYZ,Employee of the Month,Problem Solving,No
5.147,Data Analysis,Design,Product Designer,30,Other,Pune,10th,BBA,Student,"Creativity, Problem Solving, Teamwork",Telugu,"GCP, Python",Remote,Social,Research Assistant,Employee of the Month,Teamwork,No
9.231,"Python, React",Data Science,Data Analyst,20,Female,Chennai,12th,BBA,Working Professional,Communication,English,Data Science,Field Work,Creative,Research Assistant,,Problem Solving,No
6.75,"Data Analysis, HTML/CSS",Design,UI/UX Designer,25,Female,Chennai,MBA,Commerce,Graduate,"Teamwork, Leadership, Creativity","Telugu, Hindi","Azure, GCP",Office,Creative,Research Assistant,Employee of the Month,Programming,No
5.354,C++,Data Science,Data Scientist,19,Male,Delhi,M.Tech,BBA,Working Professional,"Creativity, Teamwork, Communication",Telugu,Full Stack Development,Field Work,Technical,Research Assistant,Top Performer,Problem Solving,No
8.5,"Java, C++",Cybersecurity,Ethical Hacker,19,Male,Pune,B.Sc,EEE,Graduate,Time Management,Telugu,Python,Remote,Analytical,Part-time Job,Top Performer,Teamwork,No
8.925,Data Analysis,AI/ML,Deep Learning Engineer,20,Female,Vizag,MCA,Civil,Graduate,"Leadership, Teamwork, Problem Solving","Telugu, Marathi",,Field Work,Analytical,Research Assistant,Employee of the Month,Problem Solving,No
9.07,"HTML/CSS, Node.js, React",Cybersecurity,Ethical Hacker,19,Other,Pune,10th,Commerce,Working Professional,"Teamwork, Creativity","Tamil, Kannada",Full Stack Development,Office,Technical,,Published Paper,Leadership,No
9.086,JavaScript,Marketing,Digital Marketing Specialist,24,Other,Delhi,10th,ECE,Working Professional,Creativity,"English, Hindi","Data Science, Python",Hybrid,Technical,,Hackathon Winner,Teamwork,Yes
5.2490000000000006,Data Analysis,Software Development,Backend Developer,26,Male,Pune,B.Tech,Civil,Working Professional,"Leadership, Communication","Hindi, Tamil",,Hybrid,Creative,,Awarded Best Project,Problem Solving,No
5.607,"C++, JavaScript, HTML/CSS",Software Development,Frontend Developer,24,Female,Pune,M.Tech,Commerce,Student,Teamwork,Kannada,,Remote,Social,Research Assistant,Awarded Best Project,Teamwork,Yes
7.733,"Node.js, Data Analysis",AI/ML,AI Researcher,25,Female,Mumbai,10th,IT,Graduate,"Time Management, Communication, Leadership","English, Tamil",Data Science,Hybrid,Technical,Research Assistant,,Teamwork,Yes
6.343999999999999,Python,Data Science,Business Analyst,30,Female,Vizag,B.Sc,IT,Working Professional,Communication,Hindi,,Remote,Analytical,Startup Experience,,Leadership,Yes
8.208,"React, Data Analysis, Python",Data Science,Business Analyst,21,Male,Bangalore,MCA,Mechanical,Student,Communication,Telugu,Azure,Hybrid,Technical,,Awarded Best Project,Problem Solving,Yes
6.455,"HTML/CSS, SQL",Design,Product Designer,19,Male,Hyderabad,MCA,BBA,Working Professional,"Problem Solving, Communication, Creativity","Tamil, Hindi",,Hybrid,Analytical,,Published Paper,Leadership,No
7.243,"C++, HTML/CSS, React",Design,Product Designer,19,Female,Chennai,M.Sc,EEE,Graduate,"Leadership, Creativity, Time Management",Marathi,"Azure, Python",Remote,Social,Startup Experience,Employee of the Month,Teamwork,Yes
5.268,Java,Management,Operations Manager,24,Other,Vizag,M.Tech,EEE,Student,"Leadership, Problem Solving, Creativity","Marathi, Kannada",,Office,Technical,Internship at XYZ,Employee of the Month,Data Analysis,No
9.004999999999999,React,Management,Operations Manager,28,Male,Amalapuram,MBA,Civil,Graduate,Leadership,Marathi,Data Science,Hybrid,Analytical,,Employee of the Month,Teamwork,No
5.287,"Node.js, Java, Python",Software Development,Backend Developer,25,Female,Vizag,M.Tech,EEE,Working Professional,"Communication, Leadership",Hindi,Machine Learning,Field Work,Creative,Startup Experience,Published Paper,Problem Solving,No
8.053,"Data Analysis, JavaScript, Node.js",Cybersecurity,Security Engineer,26,Female,Amalapuram,M.Tech,IT,Working Professional,"Creativity, Problem Solving, Teamwork","Telugu, Hindi",,Field Work,Technical,Research Assistant,Awarded Best Project,Teamwork,No
7.305,"Java, Node.js",Software Development,Frontend Developer,19,Male,Delhi,MCA,IT,Student,"Teamwork, Communication, Leadership",English,,Hybrid,Creative,Part-time Job,Top Performer,Teamwork,Yes
9.126999999999999,"C++, Python",Cybersecurity,Ethical Hacker,29,Other,Hyderabad,MCA,IT,Working Professional,"Communication, Teamwork",Hindi,"Full Stack Development, Python",Hybrid,Social,Freelance Project,Published Paper,Project Management,No
7.189,"C++, React, JavaScript",Cybersecurity,Cybersecurity Analyst,20,Female,Pune,MCA,ECE,Graduate,"Time Management, Problem Solving","Telugu, Tamil",Python,Remote,Analytical,,Employee of the Month,Problem Solving,No
6.036,Python,Marketing,SEO Analyst,29,Female,Delhi,B.Tech,EEE,Graduate,Leadership,"Marathi, English","Data Science, Full Stack Development",Office,Technical,Startup Experience,,Data Analysis,Yes
9.068999999999999,"Python, HTML/CSS, Java",Management,Operations Manager,18,Male,Bangalore,M.Sc,CSE,Graduate,"Time Management, Problem Solving, Leadership",English,,Remote,Creative,,Published Paper,Teamwork,Yes
5.529,"Data Analysis, Node.js, SQL",Data Science,Data Analyst,21,Male,Hyderabad,MCA,Civil,Graduate,"Creativity, Problem Solving",Hindi,GCP,Hybrid,Technical,Part-time Job,Top Performer,Problem Solving,Yes
6.83,React,Cybersecurity,Security Engineer,28,Male,Vizag,B.Tech,Civil,Working Professional,"Time Management, Creativity, Leadership","Marathi, Kannada",AWS,Hybrid,Social,Internship at XYZ,,Teamwork,No
7.176,"React, Data Analysis",AI/ML,Deep Learning Engineer,25,Other,Pune,B.Sc,IT,Student,Leadership,"Telugu, Kannada",,Office,Technical,Internship at XYZ,Published Paper,Problem Solving,No
9.215,Python,Cybersecurity,Ethical Hacker,29,Male,Amalapuram,M.Tech,Mechanical,Working Professional,Communication,Hindi,"Full Stack Development, GCP",Office,Technical,Internship at XYZ,Awarded Best Project,Programming,No
5.2829999999999995,"React, HTML/CSS, Node.js",Software Development,Full Stack Developer,27,Male,Mumbai,12th,BBA,Student,"Problem Solving, Leadership, Teamwork","English, Hindi",AWS,Office,Creative,Freelance Project,Hackathon Winner,Leadership,Yes
9.789,C++,Software Development,Frontend Developer,20,Female,Hyderabad,12th,BBA,Graduate,"Creativity, Problem Solving, Communication","Telugu, Kannada",,Remote,Social,Freelance Project,Awarded Best Project,Project Management,No
6.970999999999999,"Java, HTML/CSS",AI/ML,AI Researcher,26,Female,Delhi,MBA,CSE,Student,"Leadership, Teamwork, Communication",Marathi,Machine Learning,Remote,Analytical,Research Assistant,Published Paper,Data Analysis,Yes
8.711,"Python, Java, React",Design,UI/UX Designer,19,Female,Pune,10th,IT,Working Professional,"Leadership, Time Management","Tamil, Telugu",Machine Learning,Field Work,Technical,Research Assistant,Employee of the Month,Data Analysis,No
9.382,"JavaScript, Node.js, Python",Marketing,SEO Analyst,18,Other,Hyderabad,B.Sc,EEE,Working Professional,"Problem Solving, Teamwork, Leadership",English,,Hybrid,Analytical,Part-time Job,Top Performer,Leadership,Yes
7.495,"React, HTML/CSS",Management,Project Manager,20,Other,Vizag,M.Sc,BBA,Student,"Creativity, Communication","English, Tamil","Python, Azure",Field Work,Technical,Part-time Job,Awarded Best Project,Project Management,No
5.154999999999999,React,AI/ML,AI Researcher,25,Male,Pune,10th,IT,Student,"Teamwork, Time Management","Marathi, Tamil","AWS, Full Stack Development",Office,Analytical,Internship at XYZ,Published Paper,Teamwork,No
5.221,"React, SQL, Node.js",Cybersecurity,Security Engineer,22,Female,Hyderabad,MBA,BBA,Graduate,"Teamwork, Problem Solving","English, Marathi",,Hybrid,Creative,Research Assistant,,Leadership,Yes
5.931,Python,Software Development,Full Stack Developer,27,Male,Mumbai,B.Sc,CSE,Student,"Problem Solving, Creativity, Communication","English, Kannada","Full Stack Development, Azure",Field Work,Technical,Part-time Job,Hackathon Winner,Data Analysis,Yes
8.107,"JavaScript, React",Management,Project Manager,19,Other,Chennai,MBA,Civil,Student,Creativity,"English, Tamil",,Office,Social,,Awarded Best Project,Teamwork,No
5.925,Java,Design,Graphic Designer,20,Male,Chennai,12th,ECE,Student,Leadership,Tamil,,Office,Technical,Part-time Job,Employee of the Month,Data Analysis,No
7.99,SQL,Software Development,Full Stack Developer,28,Other,Bangalore,MBA,BBA,Student,Creativity,"Telugu, Marathi",Data Science,Office,Analytical,Internship at XYZ,Top Performer,Project Management,No
7.264,"C++, Data Analysis",Management,Project Manager,19,Female,Amalapuram,10th,CSE,Working Professional,Leadership,"Kannada, Hindi",,Office,Technical,Internship at XYZ,Published Paper,Leadership,No
8.196,"React, JavaScript",Data Science,Business Analyst,26,Other,Chennai,M.Tech,ECE,Student,"Teamwork, Creativity",Marathi,,Office,Analytical,Part-time Job,,Leadership,Yes
6.0409999999999995,Node.js,Design,UI/UX Designer,23,Male,Chennai,M.Sc,BBA,Student,"Communication, Teamwork",Telugu,"Azure, Machine Learning",Remote,Analytical,Freelance Project,Hackathon Winner,Teamwork,No
5.569,"Data Analysis, JavaScript, Node.js",AI/ML,Machine Learning Engineer,23,Male,Hyderabad,M.Sc,EEE,Student,"Problem Solving, Leadership","Kannada, English",,Hybrid,Technical,,Awarded Best Project,Teamwork,No
6.768000000000001,"SQL, JavaScript, React",AI/ML,Machine Learning Engineer,18,Female,Hyderabad,MBA,IT,Student,Time Management,English,"Data Science, AWS",Field Work,Social,Research Assistant,Published Paper,Data Analysis,Yes
8.794,C++,Marketing,Digital Marketing Specialist,25,Female,Bangalore,MCA,Civil,Student,"Teamwork, Creativity",Marathi,AWS,Field Work,Technical,Internship at XYZ,Top Performer,Project Management,Yes
6.397,"C++, HTML/CSS, Data Analysis",Software Development,Full Stack Developer,24,Other,Delhi,12th,Mechanical,Student,"Time Management, Problem Solving",Marathi,"Python, Data Science",Field Work,Creative,Internship at XYZ,,Teamwork,No
8.073,"Python, HTML/CSS",Cybersecurity,Security Engineer,23,Other,Mumbai,MCA,ECE,Working Professional,Creativity,English,,Remote,Creative,Research Assistant,Awarded Best Project,Problem Solving,Yes
9.894,"React, JavaScript",AI/ML,Machine Learning Engineer,26,Female,Delhi,M.Sc,IT,Graduate,"Problem Solving, Leadership",English,Full Stack Development,Office,Technical,Startup Experience,Top Performer,Leadership,Yes
6.1240000000000006,Java,Management,Project Manager,24,Female,Amalapuram,MBA,Mechanical,Graduate,"Teamwork, Communication, Problem Solving",Tamil,Python,Office,Creative,Part-time Job,Awarded Best Project,Project Management,No
5.725,"C++, Python",Management,Business Manager,28,Other,Bangalore,10th,Civil,Working Professional,Communication,Tamil,"Python, AWS",Office,Creative,Freelance Project,,Programming,Yes
6.639,Java,Data Science,Data Analyst,19,Female,Delhi,MCA,EEE,Working Professional,"Leadership, Time Management","Marathi, Kannada",,Field Work,Creative,Freelance Project,Top Performer,Project Management,Yes
6.3149999999999995,Data Analysis,Software Development,Full Stack Developer,25,Other,Delhi,12th,IT,Graduate,"Leadership, Teamwork",Marathi,Python,Field Work,Creative,Internship at XYZ,Top Performer,Project Management,Yes
7.183,"Java, Python",AI/ML,Deep Learning Engineer,23,Female,Chennai,MCA,IT,Student,"Teamwork, Time Management, Leadership",Telugu,Machine Learning,Field Work,Analytical,Startup Experience,Hackathon Winner,Problem Solving,No
7.170999999999999,"React, HTML/CSS",Design,Product Designer,21,Female,Chennai,MBA,Civil,Working Professional,Teamwork,Hindi,Azure,Office,Creative,Research Assistant,Awarded Best Project,Programming,No
7.598999999999999,HTML/CSS,Marketing,Digital Marketing Specialist,26,Male,Vizag,MBA,CSE,Student,Problem Solving,"English, Tamil",,Field Work,Social,Freelance Project,Hackathon Winner,Project Management,No
7.624,Data Analysis,Cybersecurity,Security Engineer,28,Female,Mumbai,MBA,ECE,Working Professional,"Communication, Problem Solving",Telugu,Full Stack Development,Field Work,Social,Internship at XYZ,Awarded Best Project,Teamwork,Yes
5.468,Java,Cybersecurity,Ethical Hacker,24,Female,Chennai,M.Sc,EEE,Student,Problem Solving,"English, Marathi","Machine Learning, Full Stack Development",Hybrid,Social,Research Assistant,Published Paper,Programming,No
7.661,"Python, JavaScript",AI/ML,Machine Learning Engineer,20,Male,Delhi,12th,EEE,Graduate,"Teamwork, Leadership",Marathi,Data Science,Remote,Analytical,Startup Experience,,Leadership,No
5.45,Python,Management,Project Manager,20,Male,Delhi,M.Tech,CSE,Student,"Time Management, Creativity, Leadership","English, Kannada",Python,Remote,Analytical,Internship at XYZ,,Teamwork,Yes
5.237,"HTML/CSS, Python, JavaScript",Management,Business Manager,18,Female,Pune,M.Tech,CSE,Graduate,"Teamwork, Leadership","Hindi, Tamil","Data Science, Machine Learning",Remote,Analytical,Freelance Project,,Data Analysis,No
9.136,"Data Analysis, JavaScript",AI/ML,Machine Learning Engineer,30,Male,Delhi,12th,Civil,Graduate,Problem Solving,"Kannada, Telugu",Machine Learning,Hybrid,Technical,Research Assistant,Published Paper,Teamwork,No
6.793000000000001,"Python, HTML/CSS, Node.js",Management,Business Manager,27,Male,Delhi,10th,CSE,Working Professional,Creativity,Hindi,Machine Learning,Field Work,Creative,Freelance Project,Published Paper,Data Analysis,Yes
5.8549999999999995,Java,AI/ML,Machine Learning Engineer,21,Male,Chennai,B.Tech,BBA,Graduate,Teamwork,Tamil,GCP,Field Work,Analytical,Freelance Project,Top Performer,Teamwork,Yes
5.944,"SQL, Java",Cybersecurity,Security Engineer,19,Female,Delhi,12th,Mechanical,Graduate,Teamwork,"Telugu, English",,Office,Creative,Part-time Job,Awarded Best Project,Programming,Yes
6.08,"C++, React",Data Science,Data Analyst,28,Other,Delhi,B.Tech,IT,Student,"Communication, Teamwork, Problem Solving",Tamil,"Machine Learning, AWS",Hybrid,Social,Startup Experience,Published Paper,Project Management,Yes
7.994,"JavaScript, Node.js",Management,Project Manager,28,Other,Pune,B.Tech,Civil,Student,"Leadership, Communication, Time Management",English,,Remote,Creative,Freelance Project,,Problem Solving,Yes
7.438,"HTML/CSS, Java",Marketing,SEO Analyst,28,Male,Amalapuram,M.Sc,ECE,Student,"Problem Solving, Time Management",English,"GCP, Full Stack Development",Hybrid,Social,Internship at XYZ,,Problem Solving,Yes
6.384,"Data Analysis, C++",Marketing,Digital Marketing Specialist,28,Other,Delhi,M.Tech,Mechanical,Student,Creativity,Tamil,,Office,Analytical,Internship at XYZ,Top Performer,Teamwork,Yes
9.151,C++,Design,Product Designer,28,Female,Delhi,MCA,Commerce,Student,Leadership,Telugu,Machine Learning,Hybrid,Social,Internship at XYZ,,Data Analysis,Yes
7.651999999999999,"Python, C++",Design,Graphic Designer,25,Other,Mumbai,12th,Civil,Working Professional,Time Management,English,Azure,Remote,Analytical,Part-time Job,Published Paper,Project Management,Yes
8.416,"Node.js, Java",Software Development,Full Stack Developer,27,Male,Amalapuram,MCA,Civil,Graduate,"Leadership, Communication",Tamil,"Data Science, Machine Learning",Field Work,Technical,Research Assistant,Published Paper,Leadership,No
5.36,"HTML/CSS, React, Java",Data Science,Data Analyst,21,Male,Vizag,M.Sc,EEE,Working Professional,"Problem Solving, Time Management","Tamil, Telugu",Machine Learning,Hybrid,Analytical,Startup Experience,Published Paper,Problem Solving,No
9.703,"Data Analysis, React, Java",Cybersecurity,Cybersecurity Analyst,29,Other,Chennai,12th,Civil,Working Professional,Time Management,Marathi,"Full Stack Development, Python",Remote,Analytical,,Top Performer,Teamwork,No
8.247,"C++, HTML/CSS, Data Analysis",Software Development,Frontend Developer,26,Female,Delhi,MBA,Mechanical,Student,"Communication, Leadership",Tamil,"GCP, Data Science",Office,Creative,Freelance Project,Published Paper,Project Management,Yes
9.455,Data Analysis,Design,UI/UX Designer,30,Male,Mumbai,MCA,Civil,Working Professional,Problem Solving,"Kannada, Tamil",GCP,Remote,Creative,Part-time Job,Employee of the Month,Project Management,No
8.519,"Data Analysis, C++",Software Development,Backend Developer,25,Female,Chennai,10th,Mechanical,Student,"Leadership, Teamwork, Communication",Marathi,,Field Work,Social,,Top Performer,Teamwork,Yes
8.037,"Data Analysis, HTML/CSS",Design,UI/UX Designer,27,Other,Hyderabad,12th,ECE,Graduate,Leadership,Telugu,,Field Work,Technical,Part-time Job,Top Performer,Leadership,No
9.351,HTML/CSS,AI/ML,Machine Learning Engineer,28,Male,Delhi,MCA,Civil,Student,"Problem Solving, Communication",Telugu,Full Stack Development,Remote,Creative,Research Assistant,Awarded Best Project,Programming,No
7.06,Python,Marketing,Digital Marketing Specialist,25,Male,Bangalore,M.Tech,Commerce,Student,"Leadership, Communication","Marathi, Telugu",,Office,Creative,Startup Experience,,Leadership,Yes
7.462000000000001,SQL,Marketing,Marketing Executive,25,Male,Amalapuram,12th,ECE,Graduate,Problem Solving,"English, Telugu",,Office,Technical,Research Assistant,Top Performer,Problem Solving,No
9.15,"SQL, Data Analysis",Cybersecurity,Cybersecurity Analyst,23,Other,Amalapuram,M.Tech,Commerce,Student,"Time Management, Communication",Tamil,GCP,Hybrid,Analytical,Internship at XYZ,,Leadership,No
